Total: 134
ID: 239 | Title: 개인정보 보호법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 270 | Title: 주차장법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 285 | Title: 하수도법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 271 | Title: 주차장법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 286 | Title: 하수도법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 240 | Title: 개인정보 보호법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 334 | Title: 시설물의 안전 및 유지관리에 관한 특별법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 335 | Title: 시설물의 안전 및 유지관리에 관한 특별법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 336 | Title: 시설물의 안전 및 유지관리에 관한 특별법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 328 | Title: 감염병의 예방 및 관리에 관한 법률 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 329 | Title: 감염병의 예방 및 관리에 관한 법률 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 330 | Title: 감염병의 예방 및 관리에 관한 법률 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 317 | Title: 도시공원 및 녹지 등에 관한 법률 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 318 | Title: 도시공원 및 녹지 등에 관한 법률 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 319 | Title: 도시공원 및 녹지 등에 관한 법률 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 297 | Title: 건축법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 263 | Title: 도로법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 288 | Title: 수도법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 291 | Title: 하천법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 298 | Title: 건축법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 264 | Title: 도로법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 289 | Title: 수도법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 292 | Title: 하천법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 314 | Title: 국토의 계획 및 이용에 관한 법률 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 315 | Title: 국토의 계획 및 이용에 관한 법률 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 316 | Title: 국토의 계획 및 이용에 관한 법률 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 304 | Title: 초고층 및 지하연계 복합건축물 재난관리에 관한 특별법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 305 | Title: 초고층 및 지하연계 복합건축물 재난관리에 관한 특별법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 233 | Title: 민원 처리에 관한 법률 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 234 | Title: 민원 처리에 관한 법률 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 235 | Title: 민원 처리에 관한 법률 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 331 | Title: 재난 및 안전관리 기본법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 332 | Title: 재난 및 안전관리 기본법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 333 | Title: 재난 및 안전관리 기본법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 248 | Title: 지방자치법 시행령 제120조에 따른 특례를 둘 수 있는 시ㆍ군ㆍ구의 지정에 필요한 서식에 관한 규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 249 | Title: 지방행정제재ㆍ부과금의 징수 등에 관한 법률 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 250 | Title: 지방행정제재ㆍ부과금의 징수 등에 관한 법률 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 251 | Title: 지방행정제재ㆍ부과금의 징수 등에 관한 법률 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 272 | Title: 소음ㆍ진동관리법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 273 | Title: 소음ㆍ진동관리법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 274 | Title: 소음ㆍ진동관리법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 346 | Title: 장애인ㆍ노인ㆍ임산부 등의 편의증진 보장에 관한 법률 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 347 | Title: 장애인ㆍ노인ㆍ임산부 등의 편의증진 보장에 관한 법률 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 348 | Title: 장애인ㆍ노인ㆍ임산부 등의 편의증진 보장에 관한 법률 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
